Date,Company,Price Close_lag1,Volume_lag1,Return,Mkt-RF_lag1,SMB_lag1,HML_lag1,RMW_lag1,CMA_lag1,RF_lag1
2023-04-11,FTNT.O,"66,91",5934740.0,0.0013,0.2,0.86,0.28,-0.06,-0.11,0.018
2023-04-12,FTNT.O,67,3107935.0,0.0028,0.06,0.71,0.58,0.06,0.12,0.018
2023-04-13,FTNT.O,"67,19",3890275.0,0.0179,-0.51,-0.43,0.37,0.49,0.4,0.018
2023-04-14,FTNT.O,"68,39",4195259.0,-0.0047,1.39,0.16,-1.17,-0.21,-0.68,0.018
2023-04-17,FTNT.O,"68,07",4049580.0,-0.0053,-0.23,-0.76,0.2,0.61,0.11,0.018
2023-04-18,FTNT.O,"67,71",3342338.0,0.0016,0.33,0.7,-0.2,-1.3,-0.26,0.018
2023-04-19,FTNT.O,"67,82",3526678.0,-0.0074,0.04,-0.4,-0.29,-0.02,0.18,0.018
2023-04-20,FTNT.O,"67,32",2458537.0,-0.0062,-0.04,0.26,0.39,-0.02,0.12,0.018
2023-04-21,FTNT.O,"66,9",2702581.0,-0.0018,-0.61,0.12,-0.26,0.72,0.48,0.018
2023-04-24,FTNT.O,"66,78",2876606.0,-0.0079,0.08,0.09,-0.91,-0.61,-0.1,0.018
2023-04-25,FTNT.O,"66,25",2933578.0,-0.0465,0.0,-0.27,0.48,0.65,0.29,0.018
2023-04-26,FTNT.O,"63,17",5726609.0,0.0036,-1.76,-0.83,0.11,0.44,0.88,0.018
2023-04-27,FTNT.O,"63,4",3650213.0,-0.0054,-0.41,-0.05,-0.76,0.04,-0.33,0.018
2023-04-28,FTNT.O,"63,06",5011968.0,-0.0002,1.85,-0.6,0.0,0.46,-0.2,0.018
2023-05-01,FTNT.O,"63,05",5597589.0,-0.0038,0.77,0.22,0.18,0.11,0.22,0.018
2023-05-02,FTNT.O,"62,81",3827322.0,-0.0218,-0.02,0.17,-0.79,-0.51,0.18,0.016
2023-05-03,FTNT.O,"61,44",5429953.0,-0.0155,-1.28,-0.73,-1.39,0.69,0.04,0.016
2023-05-04,FTNT.O,"60,49",6497298.0,0.0114,-0.56,0.87,-1.02,-0.9,-0.43,0.016
2023-05-05,FTNT.O,"61,18",5939259.0,0.0557,-0.78,-0.47,-1.0,-0.55,-0.27,0.016
2023-05-08,FTNT.O,"64,59",9353899.0,0.0231,1.9,0.5,0.61,0.24,-0.64,0.016
2023-05-09,FTNT.O,"66,08",5872768.0,0.0048,0.08,-0.38,-0.27,-0.54,-0.39,0.016
2023-05-10,FTNT.O,"66,4",4814477.0,0.0092,-0.43,0.11,-0.05,-0.37,-0.39,0.016
2023-05-11,FTNT.O,"67,01",4055996.0,0.0073,0.43,0.2,-1.31,-0.07,-0.78,0.016
2023-05-12,FTNT.O,"67,5",4397030.0,0.004,-0.21,-0.51,-0.07,0.86,0.11,0.016
2023-05-15,FTNT.O,"67,77",3703008.0,0.0117,-0.22,-0.11,0.35,0.4,0.47,0.016
2023-05-16,FTNT.O,"68,56",4580036.0,-0.0036,0.47,0.78,0.01,-0.74,-0.46,0.016
2023-05-17,FTNT.O,"68,31",3399410.0,0.0018,-0.72,-0.45,-0.47,0.75,-0.1,0.016
2023-05-18,FTNT.O,"68,43",3466501.0,-0.0042,1.32,0.85,1.18,-0.39,-0.28,0.016
2023-05-19,FTNT.O,"68,14",4576215.0,0.0219,0.99,-0.23,-0.38,0.15,-0.7,0.016
2023-05-22,FTNT.O,"69,63",4745557.0,-0.0016,-0.26,-0.39,-0.31,-0.02,0.18,0.016
2023-05-23,FTNT.O,"69,52",4493142.0,-0.0206,0.17,1.11,-0.22,-1.24,-0.91,0.016
2023-05-24,FTNT.O,"68,09",5495388.0,-0.022,-1.09,0.61,1.05,0.21,0.18,0.016
2023-05-25,FTNT.O,"66,59",9000609.0,0.0087,-0.72,-0.39,-0.19,-0.03,-0.05,0.016
2023-05-26,FTNT.O,"67,17",8565601.0,0.0089,0.64,-1.09,-1.09,1.34,-1.23,0.016
2023-05-30,FTNT.O,"67,77",5343667.0,0.0114,1.32,-0.29,-0.87,-0.26,-0.53,0.016
2023-05-31,FTNT.O,"68,54",4419571.0,-0.0031,-0.01,-0.25,-0.41,-0.36,-0.97,0.016
2023-06-01,FTNT.O,"68,33",6605128.0,0.0045,-0.6,-0.25,-1.13,-0.95,0.08,0.016
2023-06-02,FTNT.O,"68,64",4694400.0,-0.0074,1.02,0.05,-0.07,-0.12,-0.38,0.019
2023-06-05,FTNT.O,"68,13",4186232.0,0.0461,1.62,1.74,1.65,0.42,0.75,0.019
2023-06-06,FTNT.O,"71,27",8966767.0,-0.0243,-0.26,-1.09,-0.74,-0.6,-0.4,0.019
2023-06-07,FTNT.O,"69,54",5112953.0,-0.0357,0.47,2.25,1.32,-0.18,-0.41,0.019
2023-06-08,FTNT.O,"67,06",5446399.0,0.0289,-0.36,1.89,2.25,0.73,1.28,0.019
