Date,Index_Return,Index_Level
2021-06-16,-0.0004837209302325583,8718.027282917123
2021-06-17,0.013927906976744186,8839.45115593431
2021-06-18,-0.009397674418604651,8756.38087193168
2021-06-21,0.0029279069767441865,8782.01874057764
2021-06-22,0.005337209302325582,8828.890212693048
2021-06-23,0.0017488372093023253,8844.33050441385
2021-06-24,0.013579069767441863,8964.4282853796
2021-06-25,-0.001841860465116279,8947.917059328389
2021-06-28,0.016972093023255818,9099.781940023688
2021-06-29,0.007874418604651164,9171.437432230477
2021-06-30,-0.01206046511627907,9060.825631012925
2021-07-01,-0.009009302325581395,8979.193913583755
2021-07-02,0.00773720930232558,9048.66781625932
2021-07-06,0.0018209302325581397,9065.144809050325
2021-07-07,-0.006493023255813954,9006.284612987842
2021-07-08,-0.010225581395348838,8914.190116608055
